Reaction,Order,Rall,R1,R2,Pall,P1,P2,P3,P4,Tmin,Tmax,A,n,Ea
(CH3)3SiCH2C(CH3)3->(CH3)3CCH2+(CH3)3Si.,1,(CH3)3SiCH2C(CH3)3,(CH3)3SiCH2C(CH3)3,,(CH3)3CCH2 | (CH3)3Si.,(CH3)3CCH2,(CH3)3Si.,,,873.0,926.0,1.58e+16, ,309000.0
(CH3)2Ga->.CH3+CH3Ga,1,(CH3)2Ga,(CH3)2Ga,,.CH3 | CH3Ga,.CH3,CH3Ga,,,686.0,986.0,87100000.0, ,148000.0
CH3O(n-C3H7)(CH3)SiSi(CH3)3->(CH3)3SiOCH3+(n-C3H7)(CH3)Si,1,CH3O(n-C3H7)(CH3)SiSi(CH3)3,CH3O(n-C3H7)(CH3)SiSi(CH3)3,,(CH3)3SiOCH3 | (n-C3H7)(CH3)Si,(CH3)3SiOCH3,(n-C3H7)(CH3)Si,,,667.0,723.0,501000000000.0, ,175000.0
"Disulfide 1,1-dimethylethyl 4-chlorophenyl->iso-C4H8+Benzenesulfenothioic acid, p-chloro-",1,"Disulfide 1,1-dimethylethyl 4-chlorophenyl","Disulfide 1,1-dimethylethyl 4-chlorophenyl",,"iso-C4H8 | Benzenesulfenothioic acid, p-chloro-",iso-C4H8,"Benzenesulfenothioic acid, p-chloro-",,,663.0,694.0,275000000000000.0, ,196000.0
CH2=CHCH2SCH2C(CH3)3->CH3CH=CH2+(CH3)3CCHS,1,CH2=CHCH2SCH2C(CH3)3,CH2=CHCH2SCH2C(CH3)3,,CH3CH=CH2 | (CH3)3CCHS,CH3CH=CH2,(CH3)3CCHS,,,613.0,673.0,34700000000.0, ,144000.0
"(E)-CF3CF=CFCF=CF2->Cyclobutene, 1,2,3,3,4-pentafluoro-4-(trifluoromethyl)-",1,(E)-CF3CF=CFCF=CF2,(E)-CF3CF=CFCF=CF2,,"Cyclobutene, 1,2,3,3,4-pentafluoro-4-(trifluoromethyl)-","Cyclobutene, 1,2,3,3,4-pentafluoro-4-(trifluoromethyl)-",,,,492.0,566.0,2000000000000.0, ,164000.0
"Cyclobutene, 1,2,3,3,4-pentafluoro-4-(trifluoromethyl)-->(E)-CF3CF=CFCF=CF2",1,"Cyclobutene, 1,2,3,3,4-pentafluoro-4-(trifluoromethyl)-","Cyclobutene, 1,2,3,3,4-pentafluoro-4-(trifluoromethyl)-",,(E)-CF3CF=CFCF=CF2,(E)-CF3CF=CFCF=CF2,,,,492.0,566.0,501000000000000.0, ,208000.0
"Cyclobutene, 1,2,3,3,4-pentafluoro-4-(trifluoromethyl)-->(Z)-CF3CF=CFCF=CF2",1,"Cyclobutene, 1,2,3,3,4-pentafluoro-4-(trifluoromethyl)-","Cyclobutene, 1,2,3,3,4-pentafluoro-4-(trifluoromethyl)-",,(Z)-CF3CF=CFCF=CF2,(Z)-CF3CF=CFCF=CF2,,,,404.0,448.0,3980000000000.0, ,154000.0
"(Z)-CF3CF=CFCF=CF2->Cyclobutene, 1,2,3,3,4-pentafluoro-4-(trifluoromethyl)-",1,(Z)-CF3CF=CFCF=CF2,(Z)-CF3CF=CFCF=CF2,,"Cyclobutene, 1,2,3,3,4-pentafluoro-4-(trifluoromethyl)-","Cyclobutene, 1,2,3,3,4-pentafluoro-4-(trifluoromethyl)-",,,,404.0,448.0,158000000000.0, ,119000.0
"(E,E)-(C2F5CF=CF)2->Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(pentafluoromethyl)-, trans-",1,"(E,E)-(C2F5CF=CF)2","(E,E)-(C2F5CF=CF)2",,"Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(pentafluoromethyl)-, trans-","Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(pentafluoromethyl)-, trans-",,,,565.0,600.0,794000000000.0, ,175000.0
"Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(pentafluoromethyl)-, trans-->(E,E)-(C2F5CF=CF)2",1,"Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(pentafluoromethyl)-, trans-","Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(pentafluoromethyl)-, trans-",,"(E,E)-(C2F5CF=CF)2","(E,E)-(C2F5CF=CF)2",,,,565.0,600.0,39800000000000.0, ,187000.0
"Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(pentafluoromethyl)-, trans-->(Z,Z)-(C2F5CF=CF)2",1,"Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(pentafluoromethyl)-, trans-","Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(pentafluoromethyl)-, trans-",,"(Z,Z)-(C2F5CF=CF)2","(Z,Z)-(C2F5CF=CF)2",,,,342.0,380.0,794000000000.0, ,113000.0
"(Z,Z)-(C2F5CF=CF)2->Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(pentafluoromethyl)-, trans-",1,"(Z,Z)-(C2F5CF=CF)2","(Z,Z)-(C2F5CF=CF)2",,"Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(pentafluoromethyl)-, trans-","Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(pentafluoromethyl)-, trans-",,,,342.0,380.0,12600000000.0, ,98100.0
Cl(ClO2)->ClO+ClO,2,Cl(ClO2),Cl(ClO2),,ClO | ClO,ClO,ClO,,,180.0,500.0,5.12e-06,-4.90,53900.0
CBr3OBr->CBr3+BrO,1,CBr3OBr,CBr3OBr,,CBr3 | BrO,CBr3,BrO,,,200.0,400.0,9150000000000000.0,-0.82,317000.0
CBr3OBr->CBr3O(.)+Br.,1,CBr3OBr,CBr3OBr,,CBr3O(.) | Br.,CBr3O(.),Br.,,,200.0,400.0,3210000000000000.0,-0.50,170000.0
"Cyclopropane, 3-ethenyl-1,1,2,2-tetramethyl-->CH2=C=CHC(CH3)2C(CH3)=CH2",1,"Cyclopropane, 3-ethenyl-1,1,2,2-tetramethyl-","Cyclopropane, 3-ethenyl-1,1,2,2-tetramethyl-",,CH2=C=CHC(CH3)2C(CH3)=CH2,CH2=C=CHC(CH3)2C(CH3)=CH2,,,,483.0,523.0,1170000000000.0, ,150000.0
"Silacyclopent-3-ene, 1,3,4-trimethyl-1-(2-propenyl)-->CH3CH=CH2+Silacyclopenta-2,4-diene, 1,3,4-trimethyl-",1,"Silacyclopent-3-ene, 1,3,4-trimethyl-1-(2-propenyl)-","Silacyclopent-3-ene, 1,3,4-trimethyl-1-(2-propenyl)-",,"CH3CH=CH2 | Silacyclopenta-2,4-diene, 1,3,4-trimethyl-",CH3CH=CH2,"Silacyclopenta-2,4-diene, 1,3,4-trimethyl-",,,725.0,794.0,100000000000.0, ,179000.0
SSF2->FSSF,1,SSF2,SSF2,,FSSF,FSSF,,,,296.0,323.0,0.68, ,24100.0
"CH2=CHCH2CH2OSO2CH3->HOSO2CH3+1,3-Butadiene",1,CH2=CHCH2CH2OSO2CH3,CH2=CHCH2CH2OSO2CH3,,"HOSO2CH3 | 1,3-Butadiene",HOSO2CH3,"1,3-Butadiene",,,563.0,603.0,8910000000000.0, ,175000.0
t-C4H9C(N(O)=NOCH3->iso-C4H8+CO+NH3+HNO,1,t-C4H9C(N(O)=NOCH3,t-C4H9C(N(O)=NOCH3,,iso-C4H8 | CO | NH3 | HNO,iso-C4H8,CO,NH3,HNO,493.0,615.0,2190000000000.0, ,154000.0
CH3SO3CH2CH2OCH2CH3->HOSO2CH3+CH2=CHOC2H5,1,CH3SO3CH2CH2OCH2CH3,CH3SO3CH2CH2OCH2CH3,,HOSO2CH3 | CH2=CHOC2H5,HOSO2CH3,CH2=CHOC2H5,,,573.0,633.0,331000000000.0, ,167000.0
"Azetidine, 1,3,3-trinitro-->cyc-N(.)CH2C(NO2)2CH2+NO2",1,"Azetidine, 1,3,3-trinitro-","Azetidine, 1,3,3-trinitro-",,cyc-N(.)CH2C(NO2)2CH2 | NO2,cyc-N(.)CH2C(NO2)2CH2,NO2,,,250.0,2500.0,2.05e+16,-1.53,155000.0
"Azetidine, 1,3,3-trinitro-->cyc-C(.)(NO2)CH2N(NO2)CH2+NO2",1,"Azetidine, 1,3,3-trinitro-","Azetidine, 1,3,3-trinitro-",,cyc-C(.)(NO2)CH2N(NO2)CH2 | NO2,cyc-C(.)(NO2)CH2N(NO2)CH2,NO2,,,250.0,2500.0,2.57e+16,-0.69,160000.0
"Azetidine, 1,3,3-trinitro-->cyc-CH2N=CHC(NO2)2+HNO2",1,"Azetidine, 1,3,3-trinitro-","Azetidine, 1,3,3-trinitro-",,cyc-CH2N=CHC(NO2)2 | HNO2,cyc-CH2N=CHC(NO2)2,HNO2,,,250.0,2500.0,18500000000000.0,0.96,187000.0
"Azetidine, 1,3,3-trinitro-->cyc-CH2N(NO2)CH=C(NO2)+HNO2",1,"Azetidine, 1,3,3-trinitro-","Azetidine, 1,3,3-trinitro-",,cyc-CH2N(NO2)CH=C(NO2) | HNO2,cyc-CH2N(NO2)CH=C(NO2),HNO2,,,250.0,2500.0,27300000000000.0,0.96,179000.0
"Azetidine, 1,3,3-trinitro-->(.)CH2N(NO2)CH2C(.)(NO2)2",1,"Azetidine, 1,3,3-trinitro-","Azetidine, 1,3,3-trinitro-",,(.)CH2N(NO2)CH2C(.)(NO2)2,(.)CH2N(NO2)CH2C(.)(NO2)2,,,,250.0,2500.0,21500000000000.0,0.47,179000.0
(.)Si(O)H->SiO+H.,1,(.)Si(O)H,(.)Si(O)H,,SiO | H.,SiO,H.,,,1000.0,2500.0,2.15e+17,-1.20,89800.0
(CH3)3SiSiH3->(CH3)3SiH+SiH2,1,(CH3)3SiSiH3,(CH3)3SiSiH3,,(CH3)3SiH | SiH2,(CH3)3SiH,SiH2,,,530.0,560.0,1.58e+16, ,220000.0
CHF2CH:->CH2=CF2,1,CHF2CH:,CHF2CH:,,CH2=CF2,CH2=CF2,,,,200.0,700.0,6590000000000.0, ,81900.0
(CH3)2C(NO2)N(O)NF->CH3C(NO2)=CH2+HF+N2O,1,(CH3)2C(NO2)N(O)NF,(CH3)2C(NO2)N(O)NF,,CH3C(NO2)=CH2 | HF | N2O,CH3C(NO2)=CH2,HF,N2O,,405.0,445.0,3310000000000.0, ,133000.0
CF3OCF2(.)->COF2+.CF3,2,CF3OCF2(.),CF3OCF2(.),,COF2 | .CF3,COF2,.CF3,,,200.0,500.0,4.42e-08, ,26400.0
(CH3)3SiSiH=CH2->(CH3)3SiCH2Si(H):,1,(CH3)3SiSiH=CH2,(CH3)3SiSiH=CH2,,(CH3)3SiCH2Si(H):,(CH3)3SiCH2Si(H):,,,,760.0,850.0,2000000000000.0, ,120000.0
(CH3)3SiSiH=CH2->(CH3)3SiSi(CH3),1,(CH3)3SiSiH=CH2,(CH3)3SiSiH=CH2,,(CH3)3SiSi(CH3),(CH3)3SiSi(CH3),,,,760.0,850.0,31600000000000.0, ,170000.0
"(CH3)3SiCH2Si(H):->Disilacyclopropane,1,1,2-trimethyl-",1,(CH3)3SiCH2Si(H):,(CH3)3SiCH2Si(H):,,"Disilacyclopropane,1,1,2-trimethyl-","Disilacyclopropane,1,1,2-trimethyl-",,,,760.0,850.0,3980000000000.0, ,145000.0
"(CH3)3SiCH2Si(H):->1,3-Disilacylobutane,1,1-dimethyl-",1,(CH3)3SiCH2Si(H):,(CH3)3SiCH2Si(H):,,"1,3-Disilacylobutane,1,1-dimethyl-","1,3-Disilacylobutane,1,1-dimethyl-",,,,760.0,850.0,31600000000000.0, ,136000.0
"(CH3)2SiHCH2Si(CH3):->Disilacyclopropane,1,1,2-trimethyl-",1,(CH3)2SiHCH2Si(CH3):,(CH3)2SiHCH2Si(CH3):,,"Disilacyclopropane,1,1,2-trimethyl-","Disilacyclopropane,1,1,2-trimethyl-",,,,760.0,850.0,3980000000000.0, ,94800.0
"(CH3)2SiHCH2Si(CH3):->1,3-Disilacyclobutane,1,3-dimethyl-",1,(CH3)2SiHCH2Si(CH3):,(CH3)2SiHCH2Si(CH3):,,"1,3-Disilacyclobutane,1,3-dimethyl-","1,3-Disilacyclobutane,1,3-dimethyl-",,,,760.0,8500.0,31600000000000.0, ,136000.0
CFCl2O->COClF+Cl,1,CFCl2O,CFCl2O,,COClF | Cl,COClF,Cl,,,220.0,300.0,30000000000000.0, ,43700.0
C2H5OCH=CHN(C2H5)2->C2H4+(C2H5)2(CH3)N+CO,1,C2H5OCH=CHN(C2H5)2,C2H5OCH=CHN(C2H5)2,,C2H4 | (C2H5)2(CH3)N | CO,C2H4,(C2H5)2(CH3)N,CO,,273.0,613.0,50100000000000.0, ,179000.0
"Acetamide, N-acetyl-N-(4-nitrophenyl)-->Acetamide, N-(4-nitrophenyl)-+H2C=C=O",1,"Acetamide, N-acetyl-N-(4-nitrophenyl)-","Acetamide, N-acetyl-N-(4-nitrophenyl)-",,"Acetamide, N-(4-nitrophenyl)- | H2C=C=O","Acetamide, N-(4-nitrophenyl)-",H2C=C=O,,,673.0,728.0,5010000000000.0, ,194000.0
"2,4-Cyclohexadienylperoxy, 6-hydroxy-->Phenol+HO2",1,"2,4-Cyclohexadienylperoxy, 6-hydroxy-","2,4-Cyclohexadienylperoxy, 6-hydroxy-",,Phenol | HO2,Phenol,HO2,,,200.0,400.0,84900000000000.0,-10.90,81100.0
DOC(O).->CO+OD,2,DOC(O).,DOC(O).,,CO | OD,CO,OD,,,253.0,2600.0,1.03e-29,-2.68,158000.0
DOC(O).->CO2+D,2,DOC(O).,DOC(O).,,CO2 | D,CO2,D,,,253.0,2600.0,1.4e-29,-2.61,158000.0
CD3C(O)OONO2->CO2+CD3ONO2,1,CD3C(O)OONO2,CD3C(O)OONO2,,CO2 | CD3ONO2,CO2,CD3ONO2,,,298.0,338.0,2100000000000.0, ,104000.0
"Cyclobutene, 1,2,3,4-tetramethyl-->(E),(Z)-(CH3CH=C(CH3))2",1,"Cyclobutene, 1,2,3,4-tetramethyl-","Cyclobutene, 1,2,3,4-tetramethyl-",,"(E),(Z)-(CH3CH=C(CH3))2","(E),(Z)-(CH3CH=C(CH3))2",,,,430.0,474.0,126000000000000.0, ,156000.0
"Silacylohex-3-ene, 1-methyl-->Silacyclopent-3-ene,1,1-dimethyl-",1,"Silacylohex-3-ene, 1-methyl-","Silacylohex-3-ene, 1-methyl-",,"Silacyclopent-3-ene,1,1-dimethyl-","Silacyclopent-3-ene,1,1-dimethyl-",,,,760.0,850.0,31600000000000.0, ,252000.0
"Silacylohex-3-ene, 1-methyl-->1,3-Butadiene+CH2=SiHCH3",1,"Silacylohex-3-ene, 1-methyl-","Silacylohex-3-ene, 1-methyl-",,"1,3-Butadiene | CH2=SiHCH3","1,3-Butadiene",CH2=SiHCH3,,,760.0,850.0,251000000000000.0, ,252000.0
"Cyclobutene, 1,2,3,4-tetrafluoro-3,4,-bis(trifluoromethyl)-, trans-->(E,E)-(CF3CF=CF)2",1,"Cyclobutene, 1,2,3,4-tetrafluoro-3,4,-bis(trifluoromethyl)-, trans-","Cyclobutene, 1,2,3,4-tetrafluoro-3,4,-bis(trifluoromethyl)-, trans-",,"(E,E)-(CF3CF=CF)2","(E,E)-(CF3CF=CF)2",,,,516.0,546.0,2510000000000000.0, ,212000.0
"Cyclobutene, 1,2,3,4-tetrafluoro-3,4,-bis(trifluoromethyl)-, trans-->(Z,Z)-(CF3CF=CF)2",1,"Cyclobutene, 1,2,3,4-tetrafluoro-3,4,-bis(trifluoromethyl)-, trans-","Cyclobutene, 1,2,3,4-tetrafluoro-3,4,-bis(trifluoromethyl)-, trans-",,"(Z,Z)-(CF3CF=CF)2","(Z,Z)-(CF3CF=CF)2",,,,350.0,385.0,1260000000000.0, ,121000.0
"Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(trifluoromethyl)-, cis-->(E,Z)-(CF3CF=CF)2",1,"Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(trifluoromethyl)-, cis-","Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(trifluoromethyl)-, cis-",,"(E,Z)-(CF3CF=CF)2","(E,Z)-(CF3CF=CF)2",,,,372.0,490.0,79400000000000.0, ,160000.0
CH2=C(CH3)C(O)OONO2->CH2=C(CH3)C(O)OO(.)+NO2,1,CH2=C(CH3)C(O)OONO2,CH2=C(CH3)C(O)OONO2,,CH2=C(CH3)C(O)OO(.) | NO2,CH2=C(CH3)C(O)OO(.),NO2,,,302.0,323.0,1.58e+16, ,112000.0
O=CHCH2OO->C(OOH)H2CO,1,O=CHCH2OO,O=CHCH2OO,,C(OOH)H2CO,C(OOH)H2CO,,,,424.0,660.0,1300000000000.0, ,82000.0
CH2=CHO2->C2H3+O2,1,CH2=CHO2,CH2=CHO2,,C2H3 | O2,C2H3,O2,,,300.0,2000.0,1.11e+16,-0.78,184000.0
CH3C(O)CH2OO.->HOOCH2C(O)C(.)H2,1,CH3C(O)CH2OO.,CH3C(O)CH2OO.,,HOOCH2C(O)C(.)H2,HOOCH2C(O)C(.)H2,,,,753.0,753.0,520000000000.0, ,136000.0
CH2CH2SH->CH3CH2S,1,CH2CH2SH,CH2CH2SH,,CH3CH2S,CH3CH2S,,,,600.0,600.0,977000000000.0, ,67100.0
CH2CH2SH->C2H4+SH,1,CH2CH2SH,CH2CH2SH,,C2H4 | SH,C2H4,SH,,,600.0,600.0,30200000000000.0, ,34600.0
CHCl2CH2.->CH2=CHCl+Cl,1,CHCl2CH2.,CHCl2CH2.,,CH2=CHCl | Cl,CH2=CHCl,Cl,,,298.0,600.0,32000000000000.0, ,109000.0
CH3CH2CH2SiH->Silacyclobutane,1,CH3CH2CH2SiH,CH3CH2CH2SiH,,Silacyclobutane,Silacyclobutane,,,,1100.0,1240.0,1260000000000.0, ,122000.0
CH3CH2CH2SiH->CH3CH=CH2+SiH2,1,CH3CH2CH2SiH,CH3CH2CH2SiH,,CH3CH=CH2 | SiH2,CH3CH=CH2,SiH2,,,1100.0,1240.0,6310000000000.0, ,126000.0
ClClO->ClO+Cl,2,ClClO,ClClO,,ClO | Cl,ClO,Cl,,,900.0,2000.0,0.03,-9.91,107000.0
CH2FCH:->CH2=CHF,1,CH2FCH:,CH2FCH:,,CH2=CHF,CH2=CHF,,,,200.0,700.0,15200000000000.0, ,80000.0
CH2=CHCH=CH.->CH2CHCCH+H.,1,CH2=CHCH=CH.,CH2=CHCH=CH.,,CH2CHCCH | H.,CH2CHCCH,H.,,,900.0,1100.0,160000000000000.0, ,173000.0
CH2=CHCH=CH.->C2H2+C2H3,1,CH2=CHCH=CH.,CH2=CHCH=CH.,,C2H2 | C2H3,C2H2,C2H3,,,300.0,2500.0,100000000000000.0, ,184000.0
CH3C(O)OCH(CH3)CH2F->CH3C(O)OH+CH2=CHCH2F,1,CH3C(O)OCH(CH3)CH2F,CH3C(O)OCH(CH3)CH2F,,CH3C(O)OH | CH2=CHCH2F,CH3C(O)OH,CH2=CHCH2F,,,583.0,683.0,6760000000000.0, ,198000.0
"Ethanol, 2-(dimethylphenylsilyl)-, acetate->CH3C(O)OH+Silane, ethenyldimethylphenyl-",1,"Ethanol, 2-(dimethylphenylsilyl)-, acetate","Ethanol, 2-(dimethylphenylsilyl)-, acetate",,"CH3C(O)OH | Silane, ethenyldimethylphenyl-",CH3C(O)OH,"Silane, ethenyldimethylphenyl-",,,593.0,670.0,1550000000000.0, ,175000.0
"Cyclopentane, 2-chloroethyl-->Cyclopentane, ethenyl-+HCl",1,"Cyclopentane, 2-chloroethyl-","Cyclopentane, 2-chloroethyl-",,"Cyclopentane, ethenyl- | HCl","Cyclopentane, ethenyl-",HCl,,,693.0,743.0,66100000000000.0, ,231000.0
HSiOH->H2+SiO,1,HSiOH,HSiOH,,H2 | SiO,H2,SiO,,,1000.0,2500.0,3.72e+19,-3.80,161000.0
"Pyridine, 2-ethoxy-5-methyl-->C2H4+2(1H)-Pyridinone, 5-methyl-",1,"Pyridine, 2-ethoxy-5-methyl-","Pyridine, 2-ethoxy-5-methyl-",,"C2H4 | 2(1H)-Pyridinone, 5-methyl-",C2H4,"2(1H)-Pyridinone, 5-methyl-",,,669.0,721.0,3160000000000.0, ,201000.0
"Pyridine, 2-ethoxy-4-methyl-->C2H4+2(1H)-Pyridinone, 4-methyl-",1,"Pyridine, 2-ethoxy-4-methyl-","Pyridine, 2-ethoxy-4-methyl-",,"C2H4 | 2(1H)-Pyridinone, 4-methyl-",C2H4,"2(1H)-Pyridinone, 4-methyl-",,,663.0,721.0,1550000000000.0, ,196000.0
"Pyridine, 2-ethoxy-3-methyl-->C2H4+2(1H)-Pyridinone, 3-methyl-",1,"Pyridine, 2-ethoxy-3-methyl-","Pyridine, 2-ethoxy-3-methyl-",,"C2H4 | 2(1H)-Pyridinone, 3-methyl-",C2H4,"2(1H)-Pyridinone, 3-methyl-",,,669.0,721.0,1910000000000.0, ,195000.0
"Pyridine, 2-(1,1-dimethylethoxy)-->iso-C4H8+2(1H)-Pyridinone",1,"Pyridine, 2-(1,1-dimethylethoxy)-","Pyridine, 2-(1,1-dimethylethoxy)-",,iso-C4H8 | 2(1H)-Pyridinone,iso-C4H8,2(1H)-Pyridinone,,,585.0,636.0,2140000000000.0, ,161000.0
CF2ClO->COF2+Cl,1,CF2ClO,CF2ClO,,COF2 | Cl,COF2,Cl,,,220.0,300.0,30000000000000.0, ,43700.0
"(E,E)-(CF3CF=CF)2->Cyclobutene, 1,2,3,4-tetrafluoro-3,4,-bis(trifluoromethyl)-, trans-",1,"(E,E)-(CF3CF=CF)2","(E,E)-(CF3CF=CF)2",,"Cyclobutene, 1,2,3,4-tetrafluoro-3,4,-bis(trifluoromethyl)-, trans-","Cyclobutene, 1,2,3,4-tetrafluoro-3,4,-bis(trifluoromethyl)-, trans-",,,,516.0,546.0,3160000000000.0, ,182000.0
"(E,Z)-(CF3CF=CF)2->Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(trifluoromethyl)-, cis-",1,"(E,Z)-(CF3CF=CF)2","(E,Z)-(CF3CF=CF)2",,"Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(trifluoromethyl)-, cis-","Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(trifluoromethyl)-, cis-",,,,372.0,490.0,200000000000.0, ,137000.0
"(Z,Z)-(CF3CF=CF)2->Cyclobutene, 1,2,3,4-tetrafluoro-3,4,-bis(trifluoromethyl)-, trans-",1,"(Z,Z)-(CF3CF=CF)2","(Z,Z)-(CF3CF=CF)2",,"Cyclobutene, 1,2,3,4-tetrafluoro-3,4,-bis(trifluoromethyl)-, trans-","Cyclobutene, 1,2,3,4-tetrafluoro-3,4,-bis(trifluoromethyl)-, trans-",,,,350.0,385.0,25100000000.0, ,98100.0
CH3OC(S)SC(CH3)3->iso-C4H8+CH3OC(S)SH,1,CH3OC(S)SC(CH3)3,CH3OC(S)SC(CH3)3,,iso-C4H8 | CH3OC(S)SH,iso-C4H8,CH3OC(S)SH,,,540.0,570.0,190000000000.0, ,141000.0
CH3OC(S)OCH(CH3)2->CH3CH=CH2+CH3OC(O)SH,1,CH3OC(S)OCH(CH3)2,CH3OC(S)OCH(CH3)2,,CH3CH=CH2 | CH3OC(O)SH,CH3CH=CH2,CH3OC(O)SH,,,500.0,560.0,119000000000.0, ,131000.0
CH3OC(S)OC2H5->C2H4+CH3OC(O)SH,1,CH3OC(S)OC2H5,CH3OC(S)OC2H5,,C2H4 | CH3OC(O)SH,C2H4,CH3OC(O)SH,,,570.0,660.0,32200000000.0, ,149000.0
"(CH3)2C(CH2OOH)CH2.->.OH+Oxetane, 3,3-dimethyl-",1,(CH3)2C(CH2OOH)CH2.,(CH3)2C(CH2OOH)CH2.,,".OH | Oxetane, 3,3-dimethyl-",.OH,"Oxetane, 3,3-dimethyl-",,,653.0,793.0,200000000000.0, ,73000.0
(CH3)2C(CH2OOH)CH2.->.CH3+2-Methyl-2-propenylhydroperoxide,1,(CH3)2C(CH2OOH)CH2.,(CH3)2C(CH2OOH)CH2.,,.CH3 | 2-Methyl-2-propenylhydroperoxide,.CH3,2-Methyl-2-propenylhydroperoxide,,,300.0,900.0,3.75e+18,-11.00,148000.0
(CH3)2C(CH2OOH)CH2.->iso-C4H8+CH2OOH,1,(CH3)2C(CH2OOH)CH2.,(CH3)2C(CH2OOH)CH2.,,iso-C4H8 | CH2OOH,iso-C4H8,CH2OOH,,,653.0,793.0,45000000000000.0, ,116000.0
(CH3)2C(CH2OOH)CH2.->CH2O+iso-C4H8+.OH,1,(CH3)2C(CH2OOH)CH2.,(CH3)2C(CH2OOH)CH2.,,CH2O | iso-C4H8 | .OH,CH2O,iso-C4H8,.OH,,300.0,900.0,4.88e+18,-10.95,144000.0
"Cyclopropene, 1,3-dimethyl-->Cyclopropene, 1-ethyl-",1,"Cyclopropene, 1,3-dimethyl-","Cyclopropene, 1,3-dimethyl-",,"Cyclopropene, 1-ethyl-","Cyclopropene, 1-ethyl-",,,,471.0,523.0,2000000000000.0, ,166000.0
"Cyclopropene, 1,3-dimethyl-->(E)-CH2=CHCH=CHCH3",1,"Cyclopropene, 1,3-dimethyl-","Cyclopropene, 1,3-dimethyl-",,(E)-CH2=CHCH=CHCH3,(E)-CH2=CHCH=CHCH3,,,,471.0,523.0,18000000000000.0, ,172000.0
"Cyclopropene, 1,3-dimethyl-->(Z)-CH2=CHCH=CHCH3",1,"Cyclopropene, 1,3-dimethyl-","Cyclopropene, 1,3-dimethyl-",,(Z)-CH2=CHCH=CHCH3,(Z)-CH2=CHCH=CHCH3,,,,471.0,523.0,18000000000000.0, ,176000.0
"Cyclopropene, 1,3-dimethyl-->CH3CH=C=CHCH3",1,"Cyclopropene, 1,3-dimethyl-","Cyclopropene, 1,3-dimethyl-",,CH3CH=C=CHCH3,CH3CH=C=CHCH3,,,,471.0,523.0,16000000000000.0, ,186000.0
"Cyclopropene, 1,3-dimethyl-->CH3CH2C(CH3)=C:",1,"Cyclopropene, 1,3-dimethyl-","Cyclopropene, 1,3-dimethyl-",,CH3CH2C(CH3)=C:,CH3CH2C(CH3)=C:,,,,482.0,522.0,18600000000000.0, ,161000.0
"Cyclopropene, 1,3-dimethyl-->C2H5C(CH3)C(:)",1,"Cyclopropene, 1,3-dimethyl-","Cyclopropene, 1,3-dimethyl-",,C2H5C(CH3)C(:),C2H5C(CH3)C(:),,,,471.0,523.0,19000000000000.0, ,162000.0
C2H5SiH->Silacyclopropane,1,C2H5SiH,C2H5SiH,,Silacyclopropane,Silacyclopropane,,,,650.0,700.0,3870000000000.0, ,84000.0
CF3CF2CF2OCF2CF2I->I+CF3CF2CF2OCF2CF2.,1,CF3CF2CF2OCF2CF2I,CF3CF2CF2OCF2CF2I,,I | CF3CF2CF2OCF2CF2.,I,CF3CF2CF2OCF2CF2.,,,560.0,700.0,794000000000000.0, ,213000.0
Cr(CO)3->Cr(CO)2+CO,2,Cr(CO)3,Cr(CO)3,,Cr(CO)2 | CO,Cr(CO)2,CO,,,300.0,1000.0,0.33,-8.10,129000.0
"4-Pyridinecarboxylic acid 1,1-dimethylethyl ester->4-Pyridinecarboxylic acid+iso-C4H8",1,"4-Pyridinecarboxylic acid 1,1-dimethylethyl ester","4-Pyridinecarboxylic acid 1,1-dimethylethyl ester",,4-Pyridinecarboxylic acid | iso-C4H8,4-Pyridinecarboxylic acid,iso-C4H8,,,549.0,602.0,7760000000000.0, ,159000.0
H3SiO(.)->H2Si(.)OH,1,H3SiO(.),H3SiO(.),,H2Si(.)OH,H2Si(.)OH,,,,1000.0,2500.0,5.53e+17,-2.60,64500.0
CH3SSCH2->cyc-CH2SS+.CH3,1,CH3SSCH2,CH3SSCH2,,cyc-CH2SS | .CH3,cyc-CH2SS,.CH3,,,600.0,600.0,10500000000000.0, ,146000.0
